,text,screenName,retweetCount,isRetweet
86,Bake this salmon for a fast and flavorful weekday meal https://t.co/vQZF9KDqUw #recipe #dinner #healthyeats… https://t.co/vV7r56JNW3,NourishedBite,1,FALSE
87,Fall #dinner <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/oH0uTw2vVQ https://t.co/oPl2AXX5G6,AngelaHacksLife,0,FALSE
88,<ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>The #Top10% of American drinkers: 24 million adults over #age #18 consume on #average 74 #alcoholic #drinks per… https://t.co/6mPlOffN9J,aimee2day,5,FALSE
89,#meatloaf #dinner #tonight #homecooking #nyccook @BHG recipe from a long time ago is the inspiration for my own tak… https://t.co/oKWFbPQzjR,WhiskeyWomanNYC,0,FALSE
90,#Heatcaribbeankitchenandlounge #chickenfriedrice #mojitos #lamb #lambchops #broccoli #macaronipie #cheese #lunch… https://t.co/foqKQlwSbl,foodfrenzylove,1,FALSE
91,"small bites, big flavor <U+2728><ed><U+00A0><U+00BC><ed><U+00BD><U+00BD><U+2728>#newyorkcity #flatiron #nycfood #dinner #traveltuesday #BouleyTestKitchen #BouleyEvents… https://t.co/Qcq8CW0424",DavidBouley,2,FALSE
92,#thedogandduck #christmastree #christmaslights #holidaysarecoming #dinner #beer #wine… https://t.co/uG4CdjqYh7,thedogandduck46,0,FALSE
93,#bonemarrow and #beet soup coming right up! #dinner https://t.co/DTvFz5mx75 https://t.co/g4ptuguiLO,AngelaHacksLife,0,FALSE
94,Sill one of my favorite @plated recipes. #dinner #homemade #platedpics https://t.co/utubKPUuMU,K_Simonsen,0,FALSE
95,RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…,rboas2014,38,TRUE
96,RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…,TresBelle21,38,TRUE
97,Love Buca di Beppo? Get $50 Free Lyft ride credit to get there free. Use Lyft Coupon Code: DEX #munch #food #takeout #dinner,SpunkyHotDeals,0,FALSE
98,#dinner. And exactly the reason that I got turkey pepperoni and not regular pepperoni. #TuesdayThoughts https://t.co/bPGTGrSd1c,fictionjennifer,0,FALSE
99,Number two is on our minds for #dinner.. The five #wine stars in #Italy are here! https://t.co/0qDC48aZnk,JPLinguistics,0,FALSE
100,Five napkin meal. If it ain't messy it ain't BBQ. #chilisbarandgrill #smokehouse #dinner #food… https://t.co/UirPIiahHU,akaMathChick,0,FALSE
